fav_partners,project_prefs
"[166, 287]","[3, 1, 0, 2, 2, 1, 2, 1, 3, 2, 0, 3, 1, 3, 1, 0, 3, 2, 2, 1, 0, 0, 3, 0, 3, 1, 1, 3, 0, 3]"
"[127, 141, 259]","[3, 1, 2, 3, 2, 3, 0, 1, 2, 2, 2, 0, 0, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1, 0, 0, 1, 0]"
"[93, 62, 104]","[0, 3, 2, 2, 0, 1, 3, 2, 3, 1, 1, 3, 1, 1, 1, 0, 3, 1, 0, 3, 3, 2, 1, 3, 1, 1, 3, 3, 2, 2]"
"[50, 252, 144]","[2, 1, 1, 3, 2, 0, 2, 1, 0, 1, 3, 3, 0, 1, 3, 1, 1, 3, 3, 2, 0, 0, 2, 3, 1, 1, 0, 0, 0, 1]"
"[91, 259]","[0, 1, 0, 3, 0, 0, 1, 2, 2, 3, 0, 3, 1, 3, 3, 0, 1, 2, 2, 0, 3, 2, 1, 3, 2, 3, 2, 0, 1, 0]"
"[82, 284, 297, 193]","[1, 0, 3, 0, 1, 0, 0, 1, 3, 1, 1, 0, 0, 3, 1, 2, 1, 0, 0, 1, 2, 1, 3, 3, 2, 0, 2, 2, 2, 0]"
"[232, 139, 199, 272]","[2, 0, 1, 3, 0, 3, 2, 0, 2, 1, 3, 3, 0, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 3, 1, 2, 0, 0, 2, 3]"
"[255, 70, 216]","[3, 0, 2, 2, 2, 1, 3, 1, 2, 3, 3, 0, 0, 3, 3, 1, 2, 1, 2, 0, 1, 1, 3, 0, 2, 0, 3, 0, 0, 3]"
[193],"[2, 2, 1, 3, 0, 3, 3, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 2, 2, 2, 2, 3, 2, 1, 3, 0, 1, 1, 2, 3]"
"[186, 217, 28]","[1, 1, 3, 3, 1, 2, 1, 2, 0, 2, 2, 0, 2, 0, 2, 3, 0, 3, 3, 1, 2, 2, 2, 2, 0, 0, 1, 0, 2, 3]"
[151],"[3, 1, 0, 2, 2, 3, 3, 3, 3, 2, 3, 1, 1, 3, 3, 0, 3, 2, 0, 3, 3, 2, 2, 2, 2, 1, 2, 2, 2, 3]"
"[231, 249, 206, 58]","[2, 1, 1, 3, 2, 3, 3, 3, 0, 0, 0, 2, 1, 3, 3, 1, 0, 1, 3, 1, 0, 3, 2, 3, 0, 1, 0, 1, 2, 3]"
"[61, 0, 28, 7, 263]","[0, 1, 0, 3, 2, 1, 2, 1, 2, 0, 0, 0, 1, 3, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 0, 1, 3, 0, 3]"
"[167, 250, 273, 68]","[3, 0, 3, 1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 0, 2, 0, 2, 1, 2, 0, 3, 3, 2, 3, 2, 3, 3, 0, 0, 0]"
"[268, 33]","[2, 3, 3, 3, 1, 1, 3, 1, 2, 2, 1, 3, 2, 0, 1, 0, 0, 2, 1, 2, 0, 3, 2, 1, 0, 0, 2, 0, 3, 2]"
"[81, 35, 58, 285]","[0, 2, 1, 2, 2, 3, 0, 0, 2, 2, 1, 0, 2, 2, 3, 1, 0, 0, 2, 1, 1, 2, 0, 3, 2, 3, 1, 1, 0, 2]"
"[74, 36]","[1, 3, 2, 1, 3, 3, 3, 0, 0, 3, 0, 3, 1, 2, 0, 1, 2, 3, 3, 1, 2, 0, 0, 3, 1, 3, 0, 3, 0, 3]"
"[103, 202]","[1, 2, 2, 0, 2, 1, 0, 2, 0, 0, 3, 0, 2, 3, 0, 3, 3, 0, 0, 2, 3, 2, 1, 3, 3, 0, 0, 0, 3, 0]"
"[39, 17, 288]","[1, 2, 2, 2, 0, 0, 0, 2, 3, 2, 3, 0, 1, 3, 1, 0, 1, 0, 0, 2, 0, 2, 1, 3, 3, 0, 0, 0, 3, 0]"
[180],"[1, 1, 2, 1, 1, 0, 0, 1, 3, 1, 3, 0, 2, 2, 0, 2, 2, 0, 3, 0, 2, 1, 3, 1, 0, 2, 1, 0, 1, 3]"
"[40, 276, 93, 148, 217]","[1, 2, 1, 0, 2, 3, 2, 1, 0, 2, 2, 1, 2, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 1, 0]"
"[7, 217]","[3, 0, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 0, 3, 3, 2, 1, 1, 2, 0, 1, 1, 3, 0, 0, 0, 2, 3, 1, 3]"
"[37, 83, 105, 248]","[2, 3, 3, 2, 3, 2, 0, 1, 0, 0, 0, 1, 0, 2, 2, 1, 3, 3, 3, 1, 0, 0, 2, 1, 2, 3, 3, 2, 0, 3]"
"[16, 228]","[3, 2, 2, 1, 0, 3, 3, 0, 0, 3, 0, 2, 1, 2, 0, 1, 3, 3, 3, 1, 2, 1, 0, 3, 3, 3, 1, 3, 0, 3]"
