fav_partners,project_prefs
"[1, 45, 46, 20, 28]","[3, 3, 0, 3, 0, 0]"
"[0, 6, 56, 53]","[3, 3, 0, 3, 0, 0]"
"[56, 12, 53, 48]","[0, 1, 2, 0, 3, 1]"
"[30, 51]","[3, 1, 3, 0, 2, 0]"
"[0, 26, 8, 56]","[3, 3, 0, 3, 0, 0]"
"[14, 57, 38]","[2, 0, 1, 2, 3, 1]"
"[5, 7, 8, 26]","[1, 0, 1, 2, 3, 0]"
"[6, 25]","[1, 0, 1, 2, 3, 0]"
"[4, 6, 9, 11, 47]","[3, 0, 0, 2, 3, 1]"
[14],"[2, 3, 0, 2, 1, 2]"
"[58, 11, 45, 46, 44]","[2, 0, 1, 0, 1, 2]"
"[8, 10, 23]","[2, 0, 0, 1, 1, 2]"
"[57, 16, 13, 59, 26]","[3, 0, 3, 3, 3, 3]"
"[12, 4, 49, 17]","[3, 3, 0, 3, 1, 3]"
"[9, 5]","[2, 0, 0, 1, 3, 2]"
[26],"[0, 0, 0, 2, 1, 0]"
"[52, 1, 26, 6]","[1, 0, 0, 3, 0, 3]"
[13],"[3, 0, 0, 3, 1, 3]"
"[2, 1, 25]","[3, 1, 3, 3, 0, 0]"
"[40, 36, 49, 9, 32]","[2, 1, 1, 2, 1, 3]"
[0],"[3, 3, 0, 3, 0, 0]"
"[13, 15, 53, 51]","[3, 0, 0, 3, 1, 0]"
[4],"[3, 3, 0, 1, 3, 1]"
[51],"[3, 0, 1, 3, 3, 2]"
"[58, 29]","[2, 0, 0, 3, 3, 3]"
"[0, 28, 24]","[3, 0, 0, 3, 1, 3]"
"[15, 12, 8, 50]","[0, 0, 0, 2, 1, 0]"
"[50, 17, 43, 42]","[3, 0, 2, 3, 1, 3]"
"[25, 1, 27, 20, 11]","[0, 3, 0, 1, 1, 3]"
[59],"[3, 0, 0, 1, 1, 0]"
"[3, 13, 51, 39]","[1, 1, 3, 3, 2, 0]"
"[53, 24]","[3, 0, 0, 3, 3, 3]"
[55],"[0, 0, 3, 0, 1, 2]"
"[36, 41, 39, 15, 48]","[0, 0, 0, 2, 1, 0]"
"[0, 52, 11]","[3, 1, 0, 3, 2, 2]"
"[19, 23, 20, 59, 32]","[3, 3, 3, 3, 0, 2]"
"[19, 15, 24]","[0, 1, 3, 2, 1, 3]"
"[12, 51, 57]","[3, 0, 1, 3, 1, 3]"
[5],"[2, 3, 1, 2, 0, 0]"
[36],"[0, 1, 3, 2, 0, 2]"
[17],"[2, 0, 0, 3, 3, 3]"
"[56, 18]","[3, 1, 3, 3, 0, 1]"
[27],"[3, 0, 2, 3, 1, 3]"
"[34, 15, 38, 3, 8]","[2, 0, 1, 3, 0, 3]"
"[10, 6, 4, 52, 8]","[0, 0, 0, 3, 0, 3]"
"[0, 10, 43, 48, 19]","[2, 3, 0, 3, 0, 0]"
"[0, 10]","[3, 0, 0, 0, 0, 2]"
"[8, 0, 39, 52]","[3, 0, 3, 1, 3, 0]"
"[33, 8]","[0, 0, 0, 2, 0, 0]"
"[19, 6]","[2, 1, 1, 2, 3, 3]"
"[26, 18, 10, 2]","[0, 1, 0, 3, 0, 0]"
"[3, 37, 30]","[1, 1, 1, 3, 2, 0]"
"[34, 44, 16, 47]","[3, 1, 0, 0, 0, 0]"
"[1, 2, 31, 21]","[3, 3, 0, 2, 0, 0]"
"[8, 10]","[3, 0, 0, 3, 1, 1]"
"[32, 12, 23, 19, 51]","[3, 1, 3, 3, 1, 0]"
"[41, 2, 32]","[3, 1, 3, 0, 0, 1]"
"[5, 37, 19, 43, 33]","[3, 1, 1, 1, 3, 2]"
"[24, 14]","[3, 2, 3, 1, 3, 2]"
[29],"[3, 0, 0, 2, 3, 3]"
